ID;Group;Story;Em.Happiness;Em.Joy;Em.Pride;Em.Boredom;Em.Fear;Em.Sadness;Em.Shame;sum;Emo.Happiness;Emo.Joy;Emo.Pride;Emo.Boredom;Emo.Fear;Emo.Sadness;Emo.Shame
611f69ac9786d26b6e9067b8;8;Shame;0;0;0;2;5;6;9;22;0;0;0;0.090909091;0.227272727;0.272727273;0.409090909
5aeab71e1aff900001cc12ff;8;Shame;0;0;0;5;9;6;9;29;0;0;0;0.172413793;0.310344828;0.206896552;0.310344828
5c4a3a9ad3a5e3000182c54a;8;Shame;0;0;0;0;3;0;9;12;0;0;0;0;0.25;0;0.75
611f69ac9786d26b6e9067b8;8;Boredom;2;2;3;8;0;3;3;21;0.095238095;0.095238095;0.142857143;0.380952381;0;0.142857143;0.142857143
5aeab71e1aff900001cc12ff;8;Boredom;5;3;5;8;2;5;2;30;0.166666667;0.1;0.166666667;0.266666667;0.066666667;0.166666667;0.066666667
5c4a3a9ad3a5e3000182c54a;8;Boredom;0;0;1;10;0;0;0;11;0;0;0.090909091;0.909090909;0;0;0
611f69ac9786d26b6e9067b8;8;Fear;0;0;0;0;6;6;4;16;0;0;0;0;0.375;0.375;0.25
5aeab71e1aff900001cc12ff;8;Fear;0;0;0;0;10;7;4;21;0;0;0;0;0.476190476;0.333333333;0.19047619
5c4a3a9ad3a5e3000182c54a;8;Fear;0;0;0;0;8;1;0;9;0;0;0;0;0.888888889;0.111111111;0
611f69ac9786d26b6e9067b8;8;Sadness;2;2;2;0;2;8;0;16;0.125;0.125;0.125;0;0.125;0.5;0
5aeab71e1aff900001cc12ff;8;Sadness;2;4;7;0;6;8;1;28;0.071428571;0.142857143;0.25;0;0.214285714;0.285714286;0.035714286
5c4a3a9ad3a5e3000182c54a;8;Sadness;0;0;0;0;2;9;0;11;0;0;0;0;0.181818182;0.818181818;0
611f69ac9786d26b6e9067b8;8;Pride;5;5;9;0;0;0;0;19;0.263157895;0.263157895;0.473684211;0;0;0;0
5aeab71e1aff900001cc12ff;8;Pride;8;8;10;1;5;0;0;32;0.25;0.25;0.3125;0.03125;0.15625;0;0
5c4a3a9ad3a5e3000182c54a;8;Pride;8;8;10;0;0;0;0;26;0.307692308;0.307692308;0.384615385;0;0;0;0
611f69ac9786d26b6e9067b8;8;Joy;5;5;7;2;0;2;1;22;0.227272727;0.227272727;0.318181818;0.090909091;0;0.090909091;0.045454545
5aeab71e1aff900001cc12ff;8;Joy;4;8;6;1;2;1;1;23;0.173913043;0.347826087;0.260869565;0.043478261;0.086956522;0.043478261;0.043478261
5c4a3a9ad3a5e3000182c54a;8;Joy;8;8;3;0;2;0;0;21;0.380952381;0.380952381;0.142857143;0;0.095238095;0;0
611f69ac9786d26b6e9067b8;8;Happiness;4;4;7;0;0;0;0;15;0.266666667;0.266666667;0.466666667;0;0;0;0
5aeab71e1aff900001cc12ff;8;Happiness;9;6;8;2;1;2;1;29;0.310344828;0.206896552;0.275862069;0.068965517;0.034482759;0.068965517;0.034482759
5c4a3a9ad3a5e3000182c54a;8;Happiness;10;10;10;0;0;0;0;30;0.333333333;0.333333333;0.333333333;0;0;0;0
6060e43191846b1e5c04f4b5;9;Joy;6;7;9;3;5;5;3;38;0.157894737;0.184210526;0.236842105;0.078947368;0.131578947;0.131578947;0.078947368
6173c5b0aa4bc2370fd2c1f2;9;Joy;8;8;9;5;1;4;2;37;0.216216216;0.216216216;0.243243243;0.135135135;0.027027027;0.108108108;0.054054054
604294f7bacd9a1a46cf4da5;9;Joy;9;8;9;0;0;0;0;26;0.346153846;0.307692308;0.346153846;0;0;0;0
